fecha,ciudad,categoria,producto,canal,cantidad,precio_unitario,descuento,satisfaccion,cliente_id
2025-01-03,Barranquilla,Hogar,Set de ollas,Online,4,97.28,0,4,1145
2025-01-04,Bogotá,Deportes,Tapete de yoga,Tienda,1,23.66,0,3,1046
2025-01-05,Barranquilla,Deportes,Botella térmica,Online,2,20.18,0,5,1042
2025-01-07,Bucaramanga,Electrónica,Parlante Bluetooth,Online,3,47.97,0,5,1110
2025-01-08,Medellín,Moda,Chaqueta,Tienda,4,74.87,0,,1076
2025-01-08,Bucaramanga,Electrónica,Smartwatch,Online,1,132.62,0.05,5,1036
2025-01-09,Bucaramanga,Electrónica,Cámara de seguridad,Online,2,82.22,0,4,1113
2025-01-09,Cali,Moda,Chaqueta,Online,1,83.08,0,4,1033
2025-01-10,Medellín,Electrónica,Cámara de seguridad,Tienda,1,72.82,0,3,1098
2025-01-10,Medellín,Electrónica,Smartwatch,Tienda,2,128.27,0,4,1049
2025-01-12,Medellín,Moda,Tenis casuales,Online,3,62.24,0,5,1061
2025-01-12,Cali,Moda,Bolso,Online,3,59.61,0,4,1085
2025-01-13,Barranquilla,Hogar,Set de ollas,Online,4,88.08,0.15,4,1056
2025-01-15,Medellín,Hogar,Aspiradora,Tienda,1,151.75,0,4,1154
2025-01-15,Cali,Hogar,Aspiradora,Online,2,146.58,0,,1100
2025-01-15,Bucaramanga,Hogar,Aspiradora,Tienda,2,138.98,0.1,4,1157
2025-01-16,Medellín,Electrónica,Audífonos inalámbricos,Tienda,2,62.13,0,4,1090
2025-01-16,Barranquilla,Electrónica,Tablet 10",Online,1,227.07,0,4,1178
2025-01-18,Bogotá,Hogar,Aspiradora,Online,5,134.61,0,5,1134
2025-01-18,Bogotá,Electrónica,Cámara de seguridad,Tienda,1,81.57,0.1,3,1076
2025-01-19,Medellín,Electrónica,Audífonos inalámbricos,Tienda,1,55.88,0,4,1050
2025-01-19,Cali,Hogar,Lámpara de mesa,Online,1,31.14,0,4,1032
2025-01-20,Bucaramanga,Hogar,Juego de sábanas,Online,1,38.34,0.05,4,1024
2025-01-22,Bogotá,Moda,Tenis casuales,Online,1,69.44,0.1,4,1078
2025-01-23,Barranquilla,Electrónica,Parlante Bluetooth,Online,2,43.40,0.1,,1167
2025-01-24,Cali,Moda,Camiseta básica,Tienda,4,16.03,0,4,1138
2025-01-24,Bogotá,Electrónica,Smartwatch,Tienda,1,136.35,0.15,4,1089
2025-01-25,Medellín,Hogar,Aspiradora,Online,3,138.35,0.05,4,1044
2025-01-25,Bogotá,Hogar,Set de ollas,Online,3,83.08,0,4,1089
2025-01-25,Bogotá,Deportes,Mancuernas 10 kg,Tienda,2,42.20,0,4,1154
2025-01-26,Bogotá,Electrónica,Audífonos inalámbricos,Online,1,63.42,0.05,5,1011
2025-01-26,Cali,Electrónica,Audífonos inalámbricos,Online,3,59.22,0,5,1077
2025-01-27,Bogotá,Hogar,Licuadora,Online,3,59.62,0.05,4,1134
2025-01-27,Barranquilla,Electrónica,Tablet 10",Online,2,268.10,0,,1031
